,,0
params,Year,0.0005446710256220042
params,const,-1.1062361368328701
params,_f_test,8.843708802738124
pvals,Year,0.0036147820653726274
pvals,const,0.0027969759598043442
pvals,_f_test,0.003614782065387522
std,Year,0.00018315427334777653
std,const,0.36173548583673426
statistics,adj_r2,0.06600020212897806
statistics,r2,0.07441461472241062
